id;known;name;products;url;sameAs
en:ham-salad;0;en:ham-salad;3;https://fr.openfoodfacts.org/categorie/en:ham-salad;
fr:mini-farfalles;0;mini-farfalles;3;https://fr.openfoodfacts.org/categorie/mini-farfalles;
fr:sorbets-a-la-mure;0;sorbets-a-la-mure;3;https://fr.openfoodfacts.org/categorie/sorbets-a-la-mure;
fr:anchois-au-sel;1;anchois-au-sel;3;https://fr.openfoodfacts.org/categorie/anchois-au-sel;
fr:aperitif-snack-aide-culinaire;0;aperitif-snack-aide-culinaire;3;https://fr.openfoodfacts.org/categorie/aperitif-snack-aide-culinaire;
fr:galettes-vegetales;0;galettes-vegetales;3;https://fr.openfoodfacts.org/categorie/galettes-vegetales;
fr:vol-au-vent-a-garnir;0;vol-au-vent-a-garnir;3;https://fr.openfoodfacts.org/categorie/vol-au-vent-a-garnir;
fr:faux-filets;0;faux-filets;3;https://fr.openfoodfacts.org/categorie/faux-filets;
fr:chocolats-au-lait-au-nougat;0;chocolats-au-lait-au-nougat;3;https://fr.openfoodfacts.org/categorie/chocolats-au-lait-au-nougat;
fr:repas-minceur;0;repas-minceur;3;https://fr.openfoodfacts.org/categorie/repas-minceur;
fr:rigotte-de-condrieu;1;Rigotte de Condrieu;3;https://fr.openfoodfacts.org/categorie/rigotte-de-condrieu;https://www.wikidata.org/wiki/Q2089007
fr:cereales-au-son;0;cereales-au-son;3;https://fr.openfoodfacts.org/categorie/cereales-au-son;
fr:porc-a-la-dijonnaise;0;porc-a-la-dijonnaise;3;https://fr.openfoodfacts.org/categorie/porc-a-la-dijonnaise;
fr:champagnes-bio;0;champagnes-bio;3;https://fr.openfoodfacts.org/categorie/champagnes-bio;
fr:panadillas;0;panadillas;3;https://fr.openfoodfacts.org/categorie/panadillas;
en:cooked-pork-roast;1;Rôti de porc cuit;3;https://fr.openfoodfacts.org/categorie/roti-de-porc-cuit;
fr:pains-azymes-a-la-farine-de-ble;1;Pains azymes à la farine de blé;3;https://fr.openfoodfacts.org/categorie/pains-azymes-a-la-farine-de-ble;
fr:sangrias;0;sangrias;3;https://fr.openfoodfacts.org/categorie/sangrias;
fr:chocolats-fourres-au-caramel;0;chocolats-fourres-au-caramel;3;https://fr.openfoodfacts.org/categorie/chocolats-fourres-au-caramel;
fr:cotes-de-thongue;1;Côtes de Thongue;3;https://fr.openfoodfacts.org/categorie/cotes-de-thongue;https://www.wikidata.org/wiki/Q3010721
fr:aromes-naturels;0;aromes-naturels;3;https://fr.openfoodfacts.org/categorie/aromes-naturels;
en:shea-butter;1;Beurres de karité;3;https://fr.openfoodfacts.org/categorie/beurres-de-karite;https://www.wikidata.org/wiki/Q495857
en:vegetable-pasta;1;Pâtes de légumes;3;https://fr.openfoodfacts.org/categorie/pates-de-legumes;
fr:plat-a-base-de-legumes;0;plat-a-base-de-legumes;3;https://fr.openfoodfacts.org/categorie/plat-a-base-de-legumes;
fr:gateaux-a-la-carotte;0;gateaux-a-la-carotte;3;https://fr.openfoodfacts.org/categorie/gateaux-a-la-carotte;
fr:poulets-tikka-masala;0;poulets-tikka-masala;3;https://fr.openfoodfacts.org/categorie/poulets-tikka-masala;
fr:pates-a-la-bolognaise;1;pates-a-la-bolognaise;3;https://fr.openfoodfacts.org/categorie/pates-a-la-bolognaise;
en:ground-dried-rosemary;1;Romarin séché moulu;3;https://fr.openfoodfacts.org/categorie/romarin-seche-moulu;
en:russian-vodkas;1;Vodkas russes;3;https://fr.openfoodfacts.org/categorie/vodkas-russes;
fr:bruschetta;0;bruschetta;3;https://fr.openfoodfacts.org/categorie/bruschetta;
fr:liegeois-chocolat;0;liegeois-chocolat;3;https://fr.openfoodfacts.org/categorie/liegeois-chocolat;
fr:banyuls;1;Banyuls;3;https://fr.openfoodfacts.org/categorie/banyuls;
fr:chocolats-blancs-au-matcha;0;chocolats-blancs-au-matcha;3;https://fr.openfoodfacts.org/categorie/chocolats-blancs-au-matcha;
fr:coulis-de-cerise;0;coulis-de-cerise;3;https://fr.openfoodfacts.org/categorie/coulis-de-cerise;
en:powder;0;en:powder;3;https://fr.openfoodfacts.org/categorie/en:powder;
fr:pinots;0;pinots;2;https://fr.openfoodfacts.org/categorie/pinots;
en:salmon-meals;0;en:salmon-meals;2;https://fr.openfoodfacts.org/categorie/en:salmon-meals;
fr:filets-de-sardines-a-la-tomate;0;filets-de-sardines-a-la-tomate;2;https://fr.openfoodfacts.org/categorie/filets-de-sardines-a-la-tomate;
fr:assortiment-de-biscuits;0;assortiment-de-biscuits;2;https://fr.openfoodfacts.org/categorie/assortiment-de-biscuits;
en:pine-nut-oils;1;Huiles de pignons de pin;2;https://fr.openfoodfacts.org/categorie/huiles-de-pignons-de-pin;https://www.wikidata.org/wiki/Q184315
en:lemon-verbena;1;Verveine odorante;2;https://fr.openfoodfacts.org/categorie/verveine-odorante;https://www.wikidata.org/wiki/Q206532
fr:melanges-de-thes;0;melanges-de-thes;2;https://fr.openfoodfacts.org/categorie/melanges-de-thes;
fr:dessert-100-vegetal;0;dessert-100-vegetal;2;https://fr.openfoodfacts.org/categorie/dessert-100-vegetal;
en:knudel;0;en:knudel;2;https://fr.openfoodfacts.org/categorie/en:knudel;
fr:allumettes-fumees;0;allumettes-fumees;2;https://fr.openfoodfacts.org/categorie/allumettes-fumees;
fr:yaourts-natures-sucres;0;yaourts-natures-sucres;2;https://fr.openfoodfacts.org/categorie/yaourts-natures-sucres;
fr:frangipane;0;frangipane;2;https://fr.openfoodfacts.org/categorie/frangipane;
fr:viandes-hachees-fraiches;0;viandes-hachees-fraiches;2;https://fr.openfoodfacts.org/categorie/viandes-hachees-fraiches;
fr:cremes-au-caramel;0;cremes-au-caramel;2;https://fr.openfoodfacts.org/categorie/cremes-au-caramel;
en:plain-salty-snacks;1;Biscuits apéritifs nature;2;https://fr.openfoodfacts.org/categorie/biscuits-aperitifs-nature;
fr:vegetables-and-derived-products;0;vegetables-and-derived-products;2;https://fr.openfoodfacts.org/categorie/vegetables-and-derived-products;
fr:pet-1;0;pet-1;2;https://fr.openfoodfacts.org/categorie/pet-1;
fr:produit-congele;0;produit-congele;2;https://fr.openfoodfacts.org/categorie/produit-congele;
fr:rollot-de-picardie;0;rollot-de-picardie;2;https://fr.openfoodfacts.org/categorie/rollot-de-picardie;
fr:persillades;0;persillades;2;https://fr.openfoodfacts.org/categorie/persillades;
en:cocktail-sauce;0;en:cocktail-sauce;2;https://fr.openfoodfacts.org/categorie/en:cocktail-sauce;
fr:thes-bio;0;thes-bio;2;https://fr.openfoodfacts.org/categorie/thes-bio;
fr:preparations-pour-guacamoles;0;preparations-pour-guacamoles;2;https://fr.openfoodfacts.org/categorie/preparations-pour-guacamoles;
en:glutamine;1;Glutamine;2;https://fr.openfoodfacts.org/categorie/glutamine;https://www.wikidata.org/wiki/Q181619
fr:pates-au-fromage;0;pates-au-fromage;2;https://fr.openfoodfacts.org/categorie/pates-au-fromage;
fr:crayons-patissiers;0;crayons-patissiers;2;https://fr.openfoodfacts.org/categorie/crayons-patissiers;
fr:cochons-en-chocolat;0;cochons-en-chocolat;2;https://fr.openfoodfacts.org/categorie/cochons-en-chocolat;
fr:radiatori-aux-fromages;0;radiatori-aux-fromages;2;https://fr.openfoodfacts.org/categorie/radiatori-aux-fromages;
fr:jus-de-fruits-a-base-de-puree;0;jus-de-fruits-a-base-de-puree;2;https://fr.openfoodfacts.org/categorie/jus-de-fruits-a-base-de-puree;
fr:crumble-aux-pommes;0;crumble-aux-pommes;2;https://fr.openfoodfacts.org/categorie/crumble-aux-pommes;
fr:maca;0;maca;2;https://fr.openfoodfacts.org/categorie/maca;
es:ultra-procesado;0;es:ultra-procesado;2;https://fr.openfoodfacts.org/categorie/es:ultra-procesado;
en:thai-foods;0;en:thai-foods;2;https://fr.openfoodfacts.org/categorie/en:thai-foods;
en:pig-heart;1;Cœur de porc;2;https://fr.openfoodfacts.org/categorie/coeur-de-porc;
fr:vire-clesse;1;Viré-Clessé;2;https://fr.openfoodfacts.org/categorie/vire-clesse;https://www.wikidata.org/wiki/Q3560958
en:schnapps;1;Schnaps;2;https://fr.openfoodfacts.org/categorie/schnaps;https://www.wikidata.org/wiki/Q1815494
fr:sautes-de-porc;0;sautes-de-porc;2;https://fr.openfoodfacts.org/categorie/sautes-de-porc;
en:drinking-chocolate;0;en:drinking-chocolate;2;https://fr.openfoodfacts.org/categorie/en:drinking-chocolate;
fr:taglioni;0;taglioni;2;https://fr.openfoodfacts.org/categorie/taglioni;
fr:pommes-de-terre-franceline;0;pommes-de-terre-franceline;2;https://fr.openfoodfacts.org/categorie/pommes-de-terre-franceline;
fr:boissons-a-base-de-cidre;0;boissons-a-base-de-cidre;2;https://fr.openfoodfacts.org/categorie/boissons-a-base-de-cidre;
fr:superaliment;0;superaliment;2;https://fr.openfoodfacts.org/categorie/superaliment;
fr:riz-indica;0;riz-indica;2;https://fr.openfoodfacts.org/categorie/riz-indica;
