id;known;name;products;url;sameAs
en:prepared-salads;1;Salades composées;1629;https://fr.openfoodfacts.org/categorie/salades-composees;
en:canned-legumes;1;Légumineuses en conserve;1627;https://fr.openfoodfacts.org/categorie/legumineuses-en-conserve;
en:apple-compotes;1;Compotes de pomme;1625;https://fr.openfoodfacts.org/categorie/compotes-de-pomme;https://www.wikidata.org/wiki/Q618345
en:fish-fillets;1;Filets de poissons;1619;https://fr.openfoodfacts.org/categorie/filets-de-poissons;
en:turkeys;1;Dindes;1618;https://fr.openfoodfacts.org/categorie/dindes;
en:beef;1;Bœuf;1617;https://fr.openfoodfacts.org/categorie/boeuf;https://www.wikidata.org/wiki/Q192628
en:flakes;1;Flocons;1604;https://fr.openfoodfacts.org/categorie/flocons;
en:cereal-flakes;1;Flocons de céréales;1592;https://fr.openfoodfacts.org/categorie/flocons-de-cereales;
en:vegetable-soups;1;Soupes de légumes;1591;https://fr.openfoodfacts.org/categorie/soupes-de-legumes;
en:tomatoes-and-their-products;1;Tomates et dérivés;1591;https://fr.openfoodfacts.org/categorie/tomates-et-derives;https://www.wikidata.org/wiki/Q23501
fr:pates-a-tartiner;1;Pâtes à tartiner;1549;https://fr.openfoodfacts.org/categorie/pates-a-tartiner;https://www.wikidata.org/wiki/Q1472481
en:legume-seeds;1;Graines de légumineuses;1545;https://fr.openfoodfacts.org/categorie/graines-de-legumineuses;
en:fresh-plant-based-foods;1;Aliments à base de plantes frais;1489;https://fr.openfoodfacts.org/categorie/aliments-a-base-de-plantes-frais;
en:culinary-plants;1;Plantes condimentaires;1488;https://fr.openfoodfacts.org/categorie/plantes-condimentaires;
en:fruit-nectars;1;Nectars de fruits;1488;https://fr.openfoodfacts.org/categorie/nectars-de-fruits;
en:pulses;1;Légumes secs;1487;https://fr.openfoodfacts.org/categorie/legumes-secs;https://www.wikidata.org/wiki/Q2727662
en:soft-cheeses-with-bloomy-rind;1;Fromages à pâte molle à croûte fleurie;1467;https://fr.openfoodfacts.org/categorie/fromages-a-pate-molle-a-croute-fleurie;https://www.wikidata.org/wiki/Q1256296
en:canned-meals;1;Plats préparés en conserve;1460;https://fr.openfoodfacts.org/categorie/plats-prepares-en-conserve;
en:chocolate-cakes;1;Gâteaux au chocolat;1458;https://fr.openfoodfacts.org/categorie/gateaux-au-chocolat;https://www.wikidata.org/wiki/Q30186
en:fresh-meals;1;Plats préparés frais;1456;https://fr.openfoodfacts.org/categorie/plats-prepares-frais;
en:pork;1;Porc;1450;https://fr.openfoodfacts.org/categorie/porc;
en:waters;1;Eaux;1438;https://fr.openfoodfacts.org/categorie/eaux;https://www.wikidata.org/wiki/Q283
en:milk-substitute;1;Substitut du lait;1436;https://fr.openfoodfacts.org/categorie/substitut-du-lait;https://www.wikidata.org/wiki/Q1626970
en:animal-fats;1;Matières grasses animales;1432;https://fr.openfoodfacts.org/categorie/matieres-grasses-animales;https://www.wikidata.org/wiki/Q1423543
en:shortbread-cookies;1;Biscuits sablés;1426;https://fr.openfoodfacts.org/categorie/biscuits-sables;https://www.wikidata.org/wiki/Q2915670
en:plant-milks;1;Boissons végétales;1398;https://fr.openfoodfacts.org/categorie/boissons-vegetales;https://www.wikidata.org/wiki/Q2640574
en:madeleines;1;Madeleines;1382;https://fr.openfoodfacts.org/categorie/madeleines;https://www.wikidata.org/wiki/Q604408
en:meals-with-chicken;1;Plats au poulet;1382;https://fr.openfoodfacts.org/categorie/plats-au-poulet;
en:potato-crisps;1;Chips de pommes de terre;1378;https://fr.openfoodfacts.org/categorie/chips-de-pommes-de-terre;https://www.wikidata.org/wiki/Q173265
en:rices;1;Riz;1376;https://fr.openfoodfacts.org/categorie/riz;https://www.wikidata.org/wiki/Q161426
en:preparations-made-from-fish-meat;0;en:preparations-made-from-fish-meat;1367;https://fr.openfoodfacts.org/categorie/en:preparations-made-from-fish-meat;
